"placa","evento"
"FWE783","Se elimino el auto con placa FWE783 del invetario."
"FAF185","Se elimino el auto con placa FAF185 del invetario."
"FER564","Se elimino el auto con placa FER564 del invetario."
"DHD657","Se elimino el auto con placa DHD657 del invetario."
"FAA456","Se elimino el auto con placa FAA456 del invetario."
"JUR579","Se elimino el auto con placa JUR579 del invetario."
"STU505","Se elimino el auto con placa STU505 del invetario."
"FAD321","Se elimino el auto con placa FAD321 del invetario."
"VFS258","Se elimino el auto con placa VFS258 del invetario."
"VWX606","Se elimino el auto con placa VWX606 del invetario."
"TSD456","Se elimino el auto con placa TSD456 del invetario."
"TSE789","Se elimino el auto con placa TSE789 del invetario."
"ABC123","Se elimino el auto con placa ABC123 del invetario."
"RED456","Se elimino el auto con placa RED456 del invetario."
"FOP346","Se elimino el auto con placa FOP346 del invetario."
"WQE961","Se elimino el auto con placa WQE961 del invetario."
"JKL202","Se elimino el auto con placa JKL202 del invetario."
"URE730","Se elimino el auto con placa URE730 del invetario."
"KRE127","Se elimino el auto con placa KRE127 del invetario."
"GHI101","Se elimino el auto con placa GHI101 del invetario."
"AFE312","Se elimino el auto con placa AFE312 del invetario."
"GRE741","Se elimino el auto con placa GRE741 del invetario."
"FRW479","Se elimino el auto con placa FRW479 del invetario."
"FWQ986","Se elimino el auto con placa FWQ986 del invetario."
"BER301","Se elimino el auto con placa BER301 del invetario."
"PQR404","Se elimino el auto con placa PQR404 del invetario."
"MNO303","Se elimino el auto con placa MNO303 del invetario."
"GIM503","Se elimino el auto con placa GIM503 del invetario."
"XDS789","Se elimino el auto con placa XDS789 del invetario."
"DGE323","Se elimino el auto con placa DGE323 del invetario."
"GEC799","Se elimino el auto con placa GEC799 del invetario."
"GSF201","Se elimino el auto con placa GSF201 del invetario."
"POL675","Se elimino el auto con placa POL675 del invetario."
"CSX000","Se elimino el auto con placa CSX000 del invetario."
"LUE156","Se elimino el auto con placa LUE156 del invetario."
"PRE694","Se elimino el auto con placa PRE694 del invetario."
"LLO789","Se elimino el auto con placa LLO789 del invetario."
"KOS987","Se elimino el auto con placa KOS987 del invetario."
"ELV127","Se elimino el auto con placa ELV127 del invetario."
"CSE015","Se elimino el auto con placa CSE015 del invetario."
"CUF196","Se elimino el auto con placa CUF196 del invetario."
"FSD104","Se elimino el auto con placa FSD104 del invetario."
"VWA310","Se elimino el auto con placa VWA310 del invetario."
"DER364","Se elimino el auto con placa DER364 del invetario."
"SDF595","Se elimino el auto con placa SDF595 del invetario."
"LRT014","Se elimino el auto con placa LRT014 del invetario."
"LUZ666","Se elimino el auto con placa LUZ666 del invetario."
"LEO789","Se elimino el auto con placa LEO789 del invetario."
"AQW301","Se elimino el auto con placa AQW301 del invetario."
"SER761","Se elimino el auto con placa SER761 del invetario."
"EDS976","Se elimino el auto con placa EDS976 del invetario."
"LRF201","Se elimino el auto con placa LRF201 del invetario."
"TYR798","Se elimino el auto con placa TYR798 del invetario."
"PLO781","Se elimino el auto con placa PLO781 del invetario."
"GLI679","Se elimino el auto con placa GLI679 del invetario."
"DAE763","Se elimino el auto con placa DAE763 del invetario."
"JUU873","Se elimino el auto con placa JUU873 del invetario."
"DWA498","Se elimino el auto con placa DWA498 del invetario."
"MWE345","Se elimino el auto con placa MWE345 del invetario."
"MUS614","Se elimino el auto con placa MUS614 del invetario."
"CAS370","Se elimino el auto con placa CAS370 del invetario."
"GER357","Se elimino el auto con placa GER357 del invetario."
"LER420","Se elimino el auto con placa LER420 del invetario."
"CSS367","Se elimino el auto con placa CSS367 del invetario."
"SFE147","Se elimino el auto con placa SFE147 del invetario."
"WER978","Se elimino el auto con placa WER978 del invetario."
"FWE645","Se elimino el auto con placa FWE645 del invetario."
"APO986","Se elimino el auto con placa APO986 del invetario."
"DGF798","Se elimino el auto con placa DGF798 del invetario."
"AWS815","Se elimino el auto con placa AWS815 del invetario."
"DEF789","Se elimino el auto con placa DEF789 del invetario."
"LOP987","Se elimino el auto con placa LOP987 del invetario."
"XYZ456","Se elimino el auto con placa XYZ456 del invetario."
"VPO609","Se elimino el auto con placa VPO609 del invetario."
"INT327","Se elimino el auto con placa INT327 del invetario."
"YWR447","Se elimino el auto con placa YWR447 del invetario."
"GDF520","Se elimino el auto con placa GDF520 del invetario."
"DWQ014","Se elimino el auto con placa DWQ014 del invetario."
"LTE978","Se elimino el auto con placa LTE978 del invetario."
"QWQ024","Se elimino el auto con placa QWQ024 del invetario."
"QOP931","Se elimino el auto con placa QOP931 del invetario."
"HER023","Se elimino el auto con placa HER023 del invetario."
"FUN159","Se elimino el auto con placa FUN159 del invetario."
"RES466","Se elimino el auto con placa RES466 del invetario."
"FAL098","Se elimino el auto con placa FAL098 del invetario."
"LOS457","Se elimino el auto con placa LOS457 del invetario."
"FSE456","Se elimino el auto con placa FSE456 del invetario."
"FSR987","Se elimino el auto con placa FSR987 del invetario."
"FSR987","Se elimino el auto con placa FSR987 del invetario."
"CSD982","Se elimino el auto con placa CSD982 del invetario."
"PDW565","Se elimino el auto con placa PDW565 del invetario."
"LQP917","Se elimino el auto con placa LQP917 del invetario."
"FUC961","Se elimino el auto con placa FUC961 del invetario."
"HYE357","Se elimino el auto con placa HYE357 del invetario."
"LOP978","Se elimino el auto con placa LOP978 del invetario."
"NYR731","Se elimino el auto con placa NYR731 del invetario."
"BTR197","Se elimino el auto con placa BTR197 del invetario."
"SXY518","Se elimino el auto con placa SXY518 del invetario."
"QAF645","Se elimino el auto con placa QAF645 del invetario."
"TWQ339","Se elimino el auto con placa TWQ339 del invetario."
"HIG973","Se elimino el auto con placa HIG973 del invetario."
"LOR111","Se elimino el auto con placa LOR111 del invetario."
"XXC321","Se elimino el auto con placa XXC321 del invetario."
"DXR566","Se elimino el auto con placa DXR566 del invetario."
"NDD498","Se elimino el auto con placa NDD498 del invetario."
"KSA679","Se elimino el auto con placa KSA679 del invetario."
"TRE369","Se elimino el auto con placa TRE369 del invetario."
"GAF678","Se elimino el auto con placa GAF678 del invetario."
"MER978","Se elimino el auto con placa MER978 del invetario."
"WEE420","Se elimino el auto con placa WEE420 del invetario."
"AIR911","Se elimino el auto con placa AIR911 del invetario."
"GAR479","Se elimino el auto con placa GAR479 del invetario."
"FRE781","Se elimino el auto con placa FRE781 del invetario."
"DEW189","Se elimino el auto con placa DEW189 del invetario."
"PIE897","Se elimino el auto con placa PIE897 del invetario."
"FDS595","Se elimino el auto con placa FDS595 del invetario."
"CRE322","Se elimino el auto con placa CRE322 del invetario."
"OUT894","Se elimino el auto con placa OUT894 del invetario."
"NOB319","Se elimino el auto con placa NOB319 del invetario."
"IPA911","Se elimino el auto con placa IPA911 del invetario."
"TFY756","Se elimino el auto con placa TFY756 del invetario."
"CDA904","Se elimino el auto con placa CDA904 del invetario."
"AAA111","Se elimino el auto con placa AAA111 del invetario."
"YZA707","Se elimino el auto con placa YZA707 del invetario."
"GRE873","Se elimino el auto con placa GRE873 del invetario."
"GAY654","Se elimino el auto con placa GAY654 del invetario."
"FRA974","Se elimino el auto con placa FRA974 del invetario."
"GLO987","Se elimino el auto con placa GLO987 del invetario."
"FWR986","Se elimino el auto con placa FWR986 del invetario."
"LOW679","Se elimino el auto con placa LOW679 del invetario."
"FER231","Se elimino el auto con placa FER231 del invetario."
"HST314","Se elimino el auto con placa HST314 del invetario."
"LES961","Se elimino el auto con placa LES961 del invetario."
"LOA617","Se elimino el auto con placa LOA617 del invetario."
"FSD665","Se elimino el auto con placa FSD665 del invetario."
"LPW357","Se elimino el auto con placa LPW357 del invetario."
"GER789","Se elimino el auto con placa GER789 del invetario."
"FRE670","Se elimino el auto con placa FRE670 del invetario."
"FRE032","Se elimino el auto con placa FRE032 del invetario."
"BIN143","Se elimino el auto con placa BIN143 del invetario."
"WAQ741","Se elimino el auto con placa WAQ741 del invetario."
"FER978","Se elimino el auto con placa FER978 del invetario."
"DGE899","Se elimino el auto con placa DGE899 del invetario."
"GSX025","Se elimino el auto con placa GSX025 del invetario."
"FWA097","Se elimino el auto con placa FWA097 del invetario."
"DSE961","Se elimino el auto con placa DSE961 del invetario."
"EFC014","Se elimino el auto con placa EFC014 del invetario."
"LON456","Se elimino el auto con placa LON456 del invetario."
"ITE301","Se elimino el auto con placa ITE301 del invetario."
"DDS566","Se elimino el auto con placa DDS566 del invetario."
"KRO631","Se elimino el auto con placa KRO631 del invetario."
"IOB654","Se elimino el auto con placa IOB654 del invetario."
"VFS444","Se elimino el auto con placa VFS444 del invetario."
"BCV458","Se elimino el auto con placa BCV458 del invetario."
"FDS357","Se elimino el auto con placa FDS357 del invetario."
"HSE652","Se elimino el auto con placa HSE652 del invetario."
"GWA976","Se elimino el auto con placa GWA976 del invetario."
"FEW111","Se elimino el auto con placa FEW111 del invetario."
"VSD631","Se elimino el auto con placa VSD631 del invetario."
"FSD013","Se elimino el auto con placa FSD013 del invetario."
